,RANK,PLAYER_ID,PLAYER,POINTS PER EVENT,TOTAL POINTS,%_FIR,FAIRWAYS HIT,POSSIBLE FAIRWAYS,%_GIR,GREENS HIT,# HOLES,RELATIVE/PAR,%_Scrambling,PAR OR BETTER,MISSED GIR,AVG_Putting,# OF PUTTS,# OF HOLES,AVG_SG_Tee,TOTAL SG:OTT,MEASURED ROUNDS,AVG_SG_APP,TOTAL SG:APP,AVG_SG_ARG,TOTAL SG:ARG,AVG_SG_PUTTING,TOTAL SG:PUTTING
0,1,46046,Scottie Scheffler,374.547,5992.75,0.6690140845070423,665.0,994.0,0.7316118935837246,935.0,1278.0,-0.37,0.6618075801749271,227.0,343.0,1.574,2011.0,1278.0,0.816,50.593,62.0,1.269,78.656,0.316,19.6,0.095,5.878
1,2,48081,Xander Schauffele,225.407,4057.333,0.6083788706739527,668.0,1098.0,0.6997187060478199,995.0,1422.0,-0.33,0.7072599531615925,302.0,427.0,1.572,2235.0,1422.0,0.557,38.436,69.0,0.678,46.804,0.195,13.473,0.51,35.209
2,3,28237,Rory McIlroy,159.082,2545.304,0.6029106029106029,580.0,962.0,0.6570048309178744,816.0,1242.0,-0.33,0.6408450704225352,273.0,426.0,1.577,1959.0,1242.0,0.73,45.271,62.0,0.26,16.1,0.248,15.403,0.173,10.748
3,4,50525,Collin Morikawa,136.447,2456.046,0.7014519056261344,773.0,1102.0,0.6518987341772152,927.0,1422.0,-0.34,0.6545454545454545,324.0,495.0,1.544,2196.0,1422.0,0.417,28.767,69.0,0.292,20.124,0.374,25.774,0.121,8.341
4,5,52955,Ludvig Åberg,130.76,2092.167,0.6238095238095238,655.0,1050.0,0.6814814814814815,920.0,1350.0,-0.33,0.6395348837209303,275.0,430.0,1.588,2144.0,1350.0,0.502,33.125,66.0,0.434,28.671,-0.008,-0.519,0.135,8.919
5,6,51766,Wyndham Clark,126.69,2153.734,0.5524625267665952,516.0,934.0,0.6533996683250415,788.0,1206.0,-0.37,0.5980861244019139,250.0,418.0,1.564,1886.0,1206.0,0.42,26.018,62.0,0.075,4.649,0.061,3.762,0.476,29.512
6,7,32839,Hideki Matsuyama,118.678,1898.855,0.5880077369439072,608.0,1034.0,0.6674174174174174,889.0,1332.0,-0.29,0.6817155756207675,302.0,443.0,1.581,2106.0,1332.0,0.306,19.603,64.0,0.499,31.967,0.58,37.135,-0.118,-7.541
7,8,35450,Patrick Cantlay,111.241,1779.863,0.5842450765864332,534.0,914.0,0.6307692307692307,738.0,1170.0,-0.32,0.6388888888888888,276.0,432.0,1.557,1822.0,1170.0,0.187,10.309,55.0,0.024,1.335,0.218,11.99,0.234,12.883
8,9,33204,Shane Lowry,109.831,1867.125,0.6602040816326531,647.0,980.0,0.6698412698412698,844.0,1260.0,-0.3,0.5865384615384616,244.0,416.0,1.612,2031.0,1260.0,0.234,14.286,61.0,0.531,32.413,-0.033,-2.015,-0.076,-4.643
9,10,34098,Russell Henley,104.411,1670.575,0.6949317738791423,713.0,1026.0,0.649923896499239,854.0,1314.0,-0.31,0.65,299.0,460.0,1.55,2037.0,1314.0,0.014,0.91,64.0,0.343,21.931,0.289,18.495,0.304,19.462
10,11,48153,Matthieu Pavon,98.066,1569.063,0.6318181818181818,556.0,880.0,0.6596119929453262,748.0,1134.0,-0.28,0.5854922279792746,226.0,386.0,1.618,1835.0,1134.0,0.027,1.411,53.0,0.249,13.203,-0.414,-21.951,0.125,6.616
11,12,51634,Sahith Theegala,97.001,2037.014,0.5904173106646059,764.0,1294.0,0.6786140979689367,1136.0,1674.0,-0.3,0.6096654275092936,328.0,538.0,1.6,2678.0,1674.0,0.35,29.791,85.0,0.272,23.099,0.064,5.454,0.257,21.839
12,13,33948,Byeong Hun An,92.374,1755.104,0.5332699619771863,561.0,1052.0,0.6762962962962963,913.0,1350.0,-0.32,0.5835240274599542,255.0,437.0,1.593,2151.0,1350.0,0.404,26.65,66.0,0.181,11.925,-0.006,-0.376,-0.079,-5.24
13,14,33448,Justin Thomas,90.334,1445.342,0.5583153347732182,517.0,926.0,0.6558872305140961,791.0,1206.0,-0.31,0.6216867469879518,258.0,415.0,1.582,1908.0,1206.0,0.135,8.106,60.0,0.639,38.344,0.466,27.934,-0.478,-28.682
14,15,39971,Sungjae Im,86.194,1896.275,0.6361386138613861,771.0,1212.0,0.6513409961685823,1020.0,1566.0,-0.32,0.6373626373626373,348.0,546.0,1.568,2455.0,1566.0,0.344,27.202,79.0,0.054,4.254,0.264,20.861,0.138,10.891
15,16,29725,Tony Finau,86.038,1634.718,0.5836363636363636,642.0,1100.0,0.689873417721519,981.0,1422.0,-0.3,0.5804988662131519,256.0,441.0,1.612,2292.0,1422.0,0.161,11.455,71.0,0.808,57.395,0.36,25.543,-0.296,-21.044
16,17,30911,Tommy Fleetwood,76.413,1222.607,0.6921529175050302,688.0,994.0,0.672926447574335,860.0,1278.0,-0.28,0.6602870813397129,276.0,418.0,1.607,2054.0,1278.0,0.302,19.319,64.0,0.099,6.314,0.218,13.921,0.04,2.589
17,18,49960,Sepp Straka,74.92,1498.403,0.7003710575139147,755.0,1078.0,0.6753246753246753,936.0,1386.0,-0.27,0.5933333333333334,267.0,450.0,1.608,2229.0,1386.0,0.253,16.706,66.0,0.303,19.981,-0.333,-21.996,-0.018,-1.188
18,19,28089,Jason Day,74.722,1344.987,0.6115702479338843,592.0,968.0,0.6344605475040258,788.0,1242.0,-0.33,0.6299559471365639,286.0,454.0,1.551,1926.0,1242.0,0.132,7.767,59.0,-0.343,-20.226,0.153,9.008,0.541,31.906
19,20,30926,Chris Kirk,73.227,1318.088,0.655268022181146,709.0,1082.0,0.658008658008658,912.0,1386.0,-0.29,0.5949367088607594,282.0,474.0,1.597,2213.0,1386.0,0.266,17.828,67.0,0.155,10.412,0.11,7.387,-0.427,-28.587
20,21,27644,Brian Harman,70.928,1418.558,0.671875,817.0,1216.0,0.6583652618135377,1031.0,1566.0,-0.31,0.6149532710280374,329.0,535.0,1.584,2481.0,1566.0,0.083,6.522,79.0,0.322,25.451,0.092,7.26,0.291,23.027
21,22,45522,Christiaan Bezuidenhout,70.301,1406.024,0.5949008498583569,630.0,1059.0,0.6206140350877193,849.0,1368.0,-0.31,0.649325626204239,337.0,519.0,1.548,2117.0,1368.0,-0.233,-16.797,72.0,0.237,17.084,0.177,12.756,0.459,33.077
22,23,47504,Sam Burns,70.273,1264.911,0.6162109375,631.0,1024.0,0.6468797564687976,850.0,1314.0,-0.37,0.6077586206896551,282.0,464.0,1.543,2028.0,1314.0,0.265,17.519,66.0,0.173,11.422,0.069,4.524,0.496,32.73
23,24,56630,Akshay Bhatia,69.997,1609.924,0.655,786.0,1200.0,0.6602067183462532,1022.0,1548.0,-0.3,0.6178707224334601,325.0,526.0,1.585,2454.0,1548.0,0.188,14.831,79.0,0.264,20.847,-0.048,-3.819,0.345,27.24
24,25,52215,Robert MacIntyre,69.753,1534.562,0.5663983903420523,563.0,994.0,0.6597222222222222,855.0,1296.0,-0.3,0.6485260770975056,286.0,441.0,1.584,2053.0,1296.0,0.288,18.168,63.0,-0.051,-3.193,0.166,10.483,0.321,20.224
25,26,29420,Billy Horschel,69.596,1391.917,0.6375711574952562,672.0,1054.0,0.6644736842105263,909.0,1368.0,-0.3,0.6361655773420479,292.0,459.0,1.58,2161.0,1368.0,0.146,9.763,67.0,0.007,0.447,0.136,9.133,0.442,29.646
26,27,34363,Tyrrell Hatton,68.804,412.825,,,,,,,,,,,,,,,,,,,,,,
27,28,39977,Max Homa,66.308,1193.543,0.5662431941923775,624.0,1102.0,0.6371308016877637,906.0,1422.0,-0.29,0.622093023255814,321.0,516.0,1.589,2259.0,1422.0,-0.383,-26.396,69.0,0.145,10.03,0.208,14.36,-0.025,-1.716
28,29,46717,Viktor Hovland,65.721,854.371,0.606516290726817,484.0,798.0,0.6783625730994152,696.0,1026.0,-0.33,0.5515151515151515,182.0,330.0,1.588,1629.0,1026.0,0.507,26.347,52.0,0.458,23.835,-0.514,-26.729,0.269,14.008
29,30,24502,Adam Scott,65.05,1040.795,0.5828282828282828,577.0,990.0,0.6635367762128326,848.0,1278.0,-0.31,0.6209302325581395,267.0,430.0,1.581,2020.0,1278.0,0.321,19.933,62.0,0.114,7.047,0.104,6.467,0.399,24.713
30,31,57366,Cameron Young,64.562,1226.682,0.5961199294532628,676.0,1134.0,0.6618655692729767,965.0,1458.0,-0.3,0.59026369168357,291.0,493.0,1.596,2327.0,1458.0,0.375,26.991,72.0,0.116,8.387,0.005,0.328,-0.234,-16.877
31,32,33653,Thomas Detry,63.274,1202.203,0.5898268398268398,545.0,924.0,0.6334991708126037,764.0,1206.0,-0.32,0.6040723981900452,267.0,442.0,1.56,1881.0,1206.0,0.12,7.791,65.0,-0.196,-12.731,-0.226,-14.661,0.532,34.599
32,33,40250,Taylor Pendrith,63.061,1324.281,0.5738636363636364,606.0,1056.0,0.6703216374269005,917.0,1368.0,-0.34,0.5875831485587583,265.0,451.0,1.578,2159.0,1368.0,0.149,10.587,71.0,0.186,13.205,-0.047,-3.335,0.592,42.046
33,34,46414,Aaron Rai,62.757,1380.664,0.7201680672268908,857.0,1190.0,0.7157622739018088,1108.0,1548.0,-0.28,0.6318181818181818,278.0,440.0,1.631,2525.0,1548.0,0.303,22.701,75.0,0.676,50.694,0.152,11.383,0.054,4.082
34,35,39997,Corey Conners,62.453,1249.069,0.6428571428571429,783.0,1218.0,0.7030651340996169,1101.0,1566.0,-0.3,0.5655913978494623,263.0,465.0,1.629,2551.0,1566.0,0.411,32.071,78.0,0.776,60.507,-0.057,-4.432,-0.168,-13.099
35,36,34213,Grayson Murray,61.685,801.9,,,,,,,,,,,,,,,,,,,,,,
36,37,35532,Tom Hoge,61.353,1411.121,0.6072443181818182,855.0,1408.0,0.6765676567656765,1230.0,1818.0,-0.32,0.5782312925170068,340.0,588.0,1.592,2895.0,1818.0,-0.062,-5.608,91.0,0.754,68.644,-0.247,-22.479,0.037,3.401
37,38,36799,Stephan Jaeger,60.34,1206.8,0.6056466302367942,665.0,1098.0,0.6603375527426161,939.0,1422.0,-0.3,0.5962732919254659,288.0,483.0,1.598,2272.0,1422.0,0.309,22.537,73.0,-0.086,-6.285,0.159,11.627,0.01,0.726
38,39,58168,Davis Thompson,60.225,1385.179,0.6187800963081862,771.0,1246.0,0.6864197530864198,1112.0,1620.0,-0.3,0.6082677165354331,309.0,508.0,1.601,2594.0,1620.0,0.28,22.368,80.0,0.306,24.49,0.432,34.55,0.042,3.359
39,40,27349,Alex Noren,59.259,1066.666,0.6377870563674322,611.0,958.0,0.6827697262479872,848.0,1242.0,-0.27,0.6725888324873096,265.0,394.0,1.597,1984.0,1242.0,0.118,7.076,60.0,0.286,17.168,0.394,23.635,0.213,12.753
40,41,49771,J.T. Poston,56.79,1192.599,0.6549413735343383,782.0,1194.0,0.6607843137254902,1011.0,1530.0,-0.31,0.5992292870905588,311.0,519.0,1.588,2429.0,1530.0,-0.011,-0.846,77.0,0.012,0.894,0.233,17.924,0.252,19.439
41,42,33141,Keegan Bradley,56.591,1075.221,0.6254512635379061,693.0,1108.0,0.6708860759493671,954.0,1422.0,-0.3,0.5641025641025641,264.0,468.0,1.61,2290.0,1422.0,0.173,12.309,71.0,0.301,21.339,0.008,0.552,-0.141,-10.03
42,43,40098,Matt Fitzpatrick,56.526,1073.991,0.6317907444668008,628.0,994.0,0.6439749608763693,823.0,1278.0,-0.31,0.6175824175824176,281.0,455.0,1.574,2012.0,1278.0,0.036,2.227,62.0,-0.122,-7.569,0.075,4.658,0.417,25.828
43,44,37455,Si Woo Kim,55.597,1167.537,0.6715686274509803,822.0,1224.0,0.6540404040404041,1036.0,1584.0,-0.31,0.6368613138686131,349.0,548.0,1.576,2496.0,1584.0,0.28,21.85,78.0,0.506,39.478,0.193,15.091,-0.218,-17.037
44,45,33399,Adam Hadwin,53.672,1180.792,0.6197822141560798,683.0,1102.0,0.6490857946554149,923.0,1422.0,-0.3,0.5551102204408818,277.0,499.0,1.594,2267.0,1422.0,-0.002,-0.16,71.0,-0.053,-3.755,0.004,0.313,0.023,1.65
45,46,47483,Will Zalatoris,53.638,1019.118,0.5995623632385121,548.0,914.0,0.6531986531986532,776.0,1188.0,-0.25,0.6116504854368932,252.0,412.0,1.63,1936.0,1188.0,0.128,7.524,59.0,0.197,11.615,-0.127,-7.513,-0.181,-10.656
46,47,45157,Cam Davis,52.549,1050.97,0.6108007448789572,656.0,1074.0,0.6349206349206349,880.0,1386.0,-0.31,0.575098814229249,291.0,506.0,1.594,2209.0,1386.0,-0.109,-7.842,72.0,-0.105,-7.548,0.041,2.978,-0.254,-18.272
47,48,34099,Harris English,51.014,969.275,0.6536098310291859,851.0,1302.0,0.6589008363201911,1103.0,1674.0,-0.3,0.637478108581436,364.0,571.0,1.585,2653.0,1674.0,0.095,7.425,78.0,-0.325,-25.33,0.097,7.599,0.491,38.321
48,49,47993,Denny McCarthy,49.757,1044.901,0.6262295081967213,764.0,1220.0,0.6264367816091954,981.0,1566.0,-0.32,0.6615384615384615,387.0,585.0,1.548,2424.0,1566.0,-0.324,-25.585,79.0,-0.017,-1.304,0.358,28.272,0.699,55.194
49,50,22405,Justin Rose,48.946,881.025,0.6320093457943925,541.0,856.0,0.6329690346083788,695.0,1098.0,-0.29,0.6253101736972705,252.0,403.0,1.586,1741.0,1098.0,-0.061,-3.238,53.0,-0.377,-19.985,-0.029,-1.54,0.022,1.176
50,51,37378,Min Woo Lee,48.936,782.983,0.574398249452954,525.0,914.0,0.6540404040404041,777.0,1188.0,-0.3,0.5523114355231143,227.0,411.0,1.617,1921.0,1188.0,0.69,40.709,59.0,-0.213,-12.539,0.111,6.524,-0.11,-6.519
51,52,35506,Mackenzie Hughes,48.865,1026.166,0.5484848484848485,724.0,1320.0,0.6368421052631579,1089.0,1710.0,-0.33,0.6473429951690821,402.0,621.0,1.55,2650.0,1710.0,-0.289,-24.289,84.0,-0.192,-16.1,0.444,37.288,0.742,62.309
52,53,57362,Austin Eckroat,48.599,1069.185,0.6786283891547049,851.0,1254.0,0.6617283950617284,1072.0,1620.0,-0.3,0.5675182481751825,311.0,548.0,1.6,2592.0,1620.0,0.333,25.954,78.0,0.395,30.847,-0.243,-18.943,-0.172,-13.427
53,54,55182,Tom Kim,47.791,1051.407,0.6491862567811935,718.0,1106.0,0.6617440225035162,941.0,1422.0,-0.3,0.58004158004158,279.0,481.0,1.6,2275.0,1422.0,0.132,9.504,72.0,0.263,18.939,0.057,4.105,-0.081,-5.824
54,55,51977,Max Greyserman,47.307,1040.756,0.590951932139491,627.0,1061.0,0.6854256854256854,950.0,1386.0,-0.33,0.6215596330275229,271.0,436.0,1.576,2185.0,1386.0,0.18,11.525,64.0,0.013,0.838,-0.072,-4.628,0.749,47.912
55,56,47420,Jake Knapp,46.167,969.516,0.5622605363984674,587.0,1044.0,0.654074074074074,883.0,1350.0,-0.3,0.5460385438972163,255.0,467.0,1.615,2180.0,1350.0,-0.045,-3.127,69.0,0.001,0.069,-0.197,-13.573,-0.082,-5.683
56,57,25493,Nick Taylor,46.144,969.025,0.6169844020797227,712.0,1154.0,0.6479250334672021,968.0,1494.0,-0.27,0.6045627376425855,318.0,526.0,1.608,2402.0,1494.0,-0.12,-9.084,76.0,0.243,18.461,0.051,3.885,-0.042,-3.186
57,58,36699,Patrick Rodgers,43.28,952.156,0.5913669064748202,822.0,1390.0,0.6983333333333334,1257.0,1800.0,-0.29,0.6040515653775322,328.0,543.0,1.615,2907.0,1800.0,0.189,16.783,89.0,-0.191,-17.03,0.086,7.641,0.125,11.122
